company,position,location,full_text,details
Apple,"Machine Learning Engineer, Computational Music","Portland, OR","Machine Learning Engineer, Computational Music, Apple, Portland, OR, Hide job, 9 connections work here, 2 weeks ago","Summary

Apple's Computational Music team is looking for a hardworking Machine Learning Engineer to advance technologies around music understanding and analysis. We perform both exploratory and targeted algorithms research and development in a dynamic small team environment. Our projects involve significant applications of machine learning and audio-, music- and signal-processing with an explicit goal of shipping software to support current and future products and features at the scale of Apple's ecosystem.

Key Qualifications

Track record of delivering high quality results on time

Proven ability to work collaboratively within a cross-functional environment

Proficient in Python

Track record of designing and implementing algorithms for music understanding and analysis

Hands-on experience working with deep learning toolkits such as PyTorch, Tensorflow, etc

Solid fundamentals in mathematics for machine learning

Passionate about music

Description

We are looking for a Machine Learning Engineer who is self-motivated and passionate about their work. This position will play a key role in researching and developing algorithms to extract various metadata from songs. The ideal candidate will be a strong Python developer with proven experience in crafting, prototyping, and delivering ML solutions.


You should be interested in staying up to date on new developments in the field, and be able to apply that knowledge to solving challenging problems across multiple domains.


We would love to see examples of prior work you are proud of; Feel free to point us at your GitHub repository, technical blog or publications.

Education & Experience

Bachelor's degree or equivalent working experience.

Role Number: 200363029"
Apple,AI/ML - Machine Learning Engineer - Siri and Language Technologies,"Seattle, WA","AI/ML - Machine Learning Engineer - Siri and Language Technologies, Apple, Seattle, WA, $120K/yr - $158K/yr (LinkedIn est.), Hide job, You have a preferred skill badge, 1 week ago","Summary

Do you want to leverage your ML skills and NLP domain knowledge to play an important role in the next revolution of Natural Language Understanding/Conversational AI? Would you like to join the team that’s creating groundbreaking conversational assistant technologies that already helps millions of people get things done on daily bases? Join the Siri Experience team at Apple!

Key Qualifications

5 years of professional work experience applying machine learning to real-world problems, and crafting scalable and effective data solutions.


Excellent programming skills in Python or Scala


Excellent data analytical skills. Strong attention to detail. Proven track record to dive into data to discover hidden patterns and conduct error/deviation analysis


Excellent problem solving, critical thinking, and communication skills.


Good domain knowledge in at least one of the following: NLP, information retrieval, data mining


Good experience with Big Data systems such as Hadoop, Spark, Hive, ..etc


Good knowledge in statistical methods such as Bayesian Statistics


Passion for continuing to learn state-of-the-art techniques in ML/Data science

Description

As a Machine Learning Engineer within Language Technologies you will define new approaches for evaluating ML based systems, conversational AI, and model interpretability. You will run experiments, statistically interpret data with a mind on causation, data visualization, plus designing, building, and evaluating models. You will work with large amounts of real-world data to analyze and propose changes to Siri user experience. You will ensure data quality throughout all stages of acquisition and processing, data wrangling, etc. Your expertise in defining and measuring the online and offline end-to-end metrics will help communicate, evaluate, and iterate on state-of-the-art deployed models and predictors.


This position offers the right person a chance to play an important role in the next revolution in machine learning and Natural Language Understanding/Conversational AI. You will contribute to a product that is redefining computing. You will be part of a team that’s crafting groundbreaking conversational assistant technologies for both large scale systems and new client devices. You will work with the people who built the intelligent assistant that already helps millions of people get things done. This is a fast-paced role with high visibility, impact, and ensures we build the most advanced AI systems in the industry.

Education & Experience

BS/MS or Ph.D in Computer Science or related field

Role Number: 200357271"
Microsoft,Senior Data & Applied Scientist,"Austin, TX","Senior Data & Applied Scientist, Microsoft, Austin, TX, Hide job, You have a preferred skill badge, Promoted, 18 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Apple,"AI/ML - Machine Learning Engineer/Scientist, Information Intelligence","Seattle, WA","AI/ML - Machine Learning Engineer/Scientist, Information Intelligence, Apple, Seattle, WA, $120K/yr - $158K/yr (LinkedIn est.), Hide job, 9 connections work here, Promoted","Summary

The AI/ML Information Intelligence team is creating groundbreaking technology for artificial intelligence, machine learning and natural language processing! The features we create are redefining how hundreds of millions of people use their computers and mobile devices to search and find what they are looking for. Our universal search engine powers search features across a variety of Apple products, including Siri, Spotlight, Safari, Messages and Lookup.


As part of this group, you will be doing large scale machine learning and deep learning to improve Query Understanding and Ranking of search and developing fundamental building blocks needed for Artificial Intelligence. This involves developing sophisticated machine learning models, using word embeddings and deep learning to understand the quality of matches, online learning to react quickly to change, natural language processing to understand queries, taking advantage of petabytes of data and signals from millions of users and combining information from multiple sources to provide the user with results that best satisfies their intent and information seeking needs.

Key Qualifications

Experience in machine learning, deep learning, information retrieval, natural language processing or data mining

Proficiency in one of following languages: Python, Go, Java, C++

Excellent knowledge and good practical skills in major machine learning algorithms

Excellent data analytical skills

Good interpersonal skills and team player

Description

As a member of our fast-paced group, you’ll have the unique and rewarding opportunity to shape upcoming products from Apple. We are looking for people with excellent applied machine learning experience and solid engineering skills in creating outstanding search service. This role will have the following responsibilities:

- Analyzing search ranking and relevance requirements, issues and opportunities

- Understanding product requirements, translate them into modeling tasks and engineering tasks

- Building machine learned models for search relevance, ranking and query understanding problems

- Integrating search functions into Apple products, such as Siri, Spotlight, Safari, Messages, Lookup, etc.

- Building end-to-end production system including query understanding and ranking to power search

- Utilizing Spark, Hadoop MapReduce, Hive, Impala to perform distributed data processing

Education & Experience

MS or Ph.D in Computer Science, Artificial Intelligence, Machine Learning, Data Science or related field

Additional Requirements

Nice to Have

Experience with large scale search and machine learning systems is highly desired

Experience with Hadoop, Hive, and/or Impala is a plus

Role Number: 200389731"
Microsoft,Senior Data & Applied Scientist,"Milwaukee, WI","Senior Data & Applied Scientist, Microsoft, Milwaukee, WI, Hide job, You have a preferred skill badge, Promoted, 5 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Micron Technology,Data Scientist (Technology Development),"Boise, ID","Data Scientist (Technology Development), Micron Technology, Boise, ID, 1 benefit, Hide job, You have a preferred skill badge, Promoted, 21 applicants","Our vision is to transform how the world uses information to enrich life for all. Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.

Job Description

Join an inclusive team passionate about one thing: using their expertise in the pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing. Are you ready for the challenge?

As a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, materials science, and information technology to uncover patterns in data from which predictive models, practical insights, and productive solutions can be developed.

You will work with expert Data Scientists, Data Engineers, Business Areas Engineers, and other teams to identify questions and issues for data analysis projects and improvement of existing tools. In this position, you will help develop software programs, algorithms, and/or automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources. There will be significant opportunities to perform exploratory and new solution development activities.

Responsibilities Include, But Are Not Limited To

Working individually and in small teams
Collaborate with our data scientists to create scalable ML solutions for business problems at a local and global level
Work closely with Data Scientists teams, Software Engineering teams, and Process Engineering teams to drive model implementations and new algorithms
Attending morning and evening meetings to align with sites across the globe
Gather and transform data to make it useable for analytics, including Deep-learning/Machine-learning
Use ML tools such as annotating data. Work with other Data Scientists on designing AI workflow and end-to-end pipelines.
Develop, Test, Optimize and Deploy Deep-learning/Machine-learning models on-prem and cloud platforms (GCP, AWS, and Azure)
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and TPUs/GPUs)
Design visualization modes for intermediate and final results.
Working with multiple data sources, including On-prem and cloud(AZUR, GCP, AWS, etc)

Qualifications

Strong scripting and programming skills in one of the following, Python or Java (Python preferred)
Knowledge developing and debugging in Python (other languages like C/C++, Java, etc. are a bonus)
Project/time management abilities
End-to-end software development knowledge is a plus
Experience in building and deploying end-to-end ML systems automating training, testing, and deploying Machine Learning models
Familiarity with machine learning frameworks (TensorFlow, PyTorch, scikit-learn, etc.) and software architecture (data structures, data schemas, etc.).
Software development skills and the desire to work on groundbreaking development in a Cloud environment
Experience with continuous integration/continuous delivery (CI/CD) tools (Jenkins, Git, Docker, Kubernetes)

Education And Experience

We are require candidates with Bachelors, Masters or PhD majoring in Engineering, Mathematics, Computer Science, Data Science, Physics, or equivalent. Candidates with least 5 years of acquired proven experience is preferred but not required.

Micron Benefits

Employee Rewards Program, Healthcare, Paid time off (Combined Sick and Vacation Time), Retirement savings plans, Paid maternity/paternity leave, Employee Assistance Program, Professional development training. Workplace wellness programs, Micron Health Clinic (Boise only), Fitness Center / Activity rooms (Boise only), Tuition Reimbursement, Micron Corporate Discounts, Casual Dress attire!

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748) or submit Job Information Request Form to: TJA@micron.com.

About Micron Technology, Inc.

We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.

To learn more, please visit micron.com/careers

Micron is proud to be an equal opportunity workplace and is an affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state, or local laws.

Please note that in order to assist in providing a safe and healthy workplace for all Micron team members, new employment offers for jobs based in India, Malaysia, Singapore, and the U.S., are contingent upon the applicant’s provision of a copy of their COVID-19 vaccination document to Micron on a confidential basis prior to their scheduled start date confirming that they have completed the COVID-19 vaccination process, subject to any written request for medical or religious accommodation and to the extent permitted by applicable law.

For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s People Organization at hrsupport_na@micron.com or 1-800-336-8918

Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.

Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron."
Microsoft,Senior Data & Applied Scientist,"Arlington, VA","Senior Data & Applied Scientist, Microsoft, Arlington, VA, Hide job, 13 connections work here, Promoted, 15 applicants","Do you want to be on the leading edge of using big data and help drive development decisions for the biggest productivity software on the planet? Office Experience Organization (office core apps like Word, Excel, PowerPoint, Planner, Forms and more) has embarked on a mission to delight our customers by using data driven engineering to develop compelling products and services. Office is looking for an experienced Data Scientist with a passion for measuring the impact of AI features across the Office product suite. This Data Scientist will leverage petabytes of data, economic and statistical modeling, and experimentation to quantify user engagement, satisfaction, and growth of AI Services.



The role involves working with application teams (like Word, Excel, PowerPoint, Project, Planner, OneNote, Teams, and Outlook), other data scientists, data engineers and program managers to continuously improve our understanding of AI feature usage, retention, and user satisfaction.

We are looking for a strong Data Scientist with a proven track record in data driven decision making. Ideal candidates should be able to identify a business or engineering problem and translate it to a data science problem, dig out sources of data, conduct the analysis and modeling, including solving complex machine learning problems that drive our strategic thinking and product development. They should also be able to work with the PMs and the engineering teams to operationalize the solutions.

Responsibilities

Core Skills:
Identifies data sources, integrates multiple sources, or types of data, and applies expertise within a data source to develop methods to compensate for limitations and extend the applicability of the data.
Applies (or develops if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.
Transforms formulated problems into implementation plans for experiments by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors.
Interprets results and develops insights into formulated problems within the business/customer context and provides guidance on risks and limitations.
Presents findings to product and engineering leadership and incorporates feedback on the analyses.
Acquires and uses broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature and applies his or her own analysis of scalability and applicability to the formulated problem.
Validates, monitors, and drives continuous improvement to methods, and proposes enhancements to data sources that improve usability and results.
Works collaboratively with PMs to translate the business needs into metrics and then works with data engineering to implement these metrics including identifying and obtaining the necessary data.
Qualifications

Requirements:
4+ years of applying statistical modeling, ML or data mining algorithms to real world problems.
Expert in one or more statistical software like R, SAS, etc.
Expert in one or more scripting languages like Python, Scala, or SQL
Solid foundation of statistical modeling and machine learning algorithms and experimental design
Deep understanding of big data systems including map reduce technologies like Hadoop and Spark. (Spark Preferred)
B.S. and/or M.S. (Ph.D. Preferred) in Computer Science, Statistics, Operations Research, or similar quantitative field.
Preferred Skills
Experience writing Scala packages
Experience contributing to open-source projects
2 + years working with Spark
Experience with Kubernetes
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Wings Financial Credit Union,Data Scientist,"Apple Valley, MN","Data Scientist, Wings Financial Credit Union, Apple Valley, MN, On-site, Hide job, You have a preferred skill badge, 1 week ago, 2 applicants","ESSENTIAL FUNCTIONS include the following. Other duties may be assigned.

Data Science Practice Leadership
Recommends beneficial use cases of data science employing statistical and machine learning models, as well as optimization and simulation methods. Correctly designs experiments to measure the impact of interventions and tests hypotheses using proper methods. Employs innovative approaches to analysis.
Collaborates with team members to promote and incorporate data science insights with business partnerships.
Continues education and keeps abreast of latest developments in data science methods. Engages in maturing the data science knowledge of team members. Provides tactical guidance on the application of data science techniques and models to meet business needs.
Solution Development
Employs appropriate statistical and machine learning models to data sets to identify patterns in the data and provide insight into our membership. Assumptions and limitations of the methods and algorithms used are noted. Tunes models through selection of optimal model parameters. Compares multiple models and makes suitable selections. Gauges model performance using appropriate metrics.
Authors, deploys, and maintains production quality code that follows best practices, including testing and error logging.
Implements a variety of methods and algorithms relating to segmentation, market basket analysis, text analytics, forecasting, and behavioral analytics to identify and provide value to Wings membership.
Utilizes standardized DevOps practice to deploy new models and maintain existing models to ensure continued validity of use, including containerization and regression testing.
Prepares requirements documents. Documents modeling process. Creates case study documentation and materials.
Business Relationship & Analysis
Designs and executes SQL queries, both ad hoc and within views, to access data for exploration and modeling. Conducts exploratory data analysis, prepares data for analysis, appropriately handling missing data and imputation, transformations, and feature generation.
Translates predictive results into prescriptive insights. Communicates outcomes in an understandable way.
Creates effective data visualizations and dashboards to deliver insights to business decision makers.
Build quality relationships with key members of the various business units while clarifying information & analytics needs across business lines.
Assists Manager – Data Science in developing and executing Data Science Roadmap.
Standards Of Performance
Complies with Bank Secrecy Act/Anti-Money Laundering/CIP (U.S. Patriot Act) procedures and policies.
Follows Wings Financial CU’s “Standards of Professionalism” to represent the credit union to members in a professional manner through written and verbal communications, attitude, business attire, work area, and thorough knowledge of our products and services.
Meets individual quality service goals as identified in your performance action plan.
Be an effective team member through cooperation, flexibility, dependability, attendance, lack of tardiness and participation at meetings and training.
EDUCATION And EXPERIENCE
Graduate degree in data science, statistics, mathematics, or computer science. A successful track record of using data science in a business environment is acceptable in lieu of graduate work.
3+ years’ experience with predictive analytics tools and supporting languages.
3+ years’ demonstrated experience working with various business units defining and understanding business problems and solutions.
Experience in the application of statistical and machine learning models to business processes.
Demonstrated knowledge of advanced analytical functions such as clustering, correlation, forecasting, and market basket analysis. Excellent analytic, organization, presentation and facilitation skills.
Very strong customer focus and relationship skills.
Working knowledge of BI Development processes & awareness of BI technologies. Knowledge of Tableau or similar data visualization software preferred.
Working knowledge of computer software (i.e. Windows, Microsoft Office, Visio).
Awareness of Project Management methodologies and processes. Understanding of the CRISP-DM process.
Awareness and understanding of DevOps processes.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions."
Apple,"AI/ML - Machine Learning Research Engineer, Machine Intelligence and Neural Design","Cupertino, CA","AI/ML - Machine Learning Research Engineer, Machine Intelligence and Neural Design, Apple, Cupertino, CA, $135K/yr - $204K/yr (LinkedIn est.), Hide job, 9 connections work here, 2 weeks ago","Summary

As a Machine Learning Engineer in the Machine Intelligence (MI) team, you will have an outstanding opportunity to be part of an ML innovation organization within Apple that has its roots in the computer vision research community. MI is well-positioned for strategic contributions in the short-term (on well-known Apple products) and in the long-term (on highly ambitious, high-risk, high-reward projects). You have an opportunity to innovate in the entire end-to-end ML production pipeline. This includes but is not limited to designing creative approaches to datasets, model training, and on-device inference optimizations. Our ideal team member is courageous when it comes to trying new things and is willing to iterate on ideas. We value team members who can quickly prototype, iterating all the way to high-quality implementations.

Key Qualifications

Proficient in Python Proficient in PyTorch and/or TensorFlow

Able to train and debug deep learning systems

Able to define metrics and datasets and perform error analysis

Familiar with current deep learning literature including the math of machine learning

Description

As a member of this team, you will use your background to:

• Develop features and models to improve the capabilities of systems that use machine learning

• Scale up models, build training datasets, and tune parameters to improve system performance

• Review and implement state-of-the-art machine learning algorithms

• Build software that improves your rate of experimentation


We prefer candidates with the following optional qualifications.

• Experience with modeling vision problems in the areas of object detection, keypoint detection, action recognition, and/or temporal machine learning

• Experience with building efficient ML models through HW/SW co-design

• Experience designing and defining datasets for novel tasks

Education & Experience

Bachelor’s, Master’s, or Ph.D. in Computer Science or a related field

Role Number: 200378467"
Amazon,"Senior Applied Scientist, Physical Stores, Sensor Systems","Seattle, WA","Senior Applied Scientist, Physical Stores, Sensor Systems, Amazon, Seattle, WA, Hide job, 53 connections work here, Promoted, 8 applicants","Job Summary

DESCRIPTION

The Team: Amazon Go is a new kind of store with no lines and no checkout. You simply use the Amazon Go app to enter the store, take what you want from our selection of fresh, delicious meals and grocery essentials, and go.

Our checkout-free shopping experience is made possible by our Just Walk Out Technology. It automatically detects when products are taken from or returned to the shelves and keeps track of them in a virtual cart. When you’re done shopping, you just leave the store. Shortly after, we’ll charge your Amazon account and send you a receipt. Check it out at amazon.com/go. Designed and custom-built by Amazonians, our technology uses computer vision, sensor fusion, and advanced machine learning. Innovation is part of our DNA. We need people who want to join a high-reaching program that continues to collaborate and push the state of the art hardware design.
We are looking for excellent electrical engineers and applied scientists that epitomize technical and operational excellence – that can drive innovation and apply state-of-the-art technologies to solve real world challenges.
As an experienced Applied Scientist within our team, you will engage with a skilled and accomplished cross-disciplinary staff to research nascent technologies, conceive and design innovative technologies, develop algorithms that bridge sensors with software services, and work closely with hardware and software engineers to develop these concepts into products. You will collaborate with internal and external stakeholders to drive key aspects of technology solution definition, execution and validation.
You are responsive, flexible, and able to succeed within an open collaborative peer environment.

Basic Qualifications
PhD in Physics, Electrical Engineering or Computer Science (or a similar field)
7+ years of experience across algorithm development for sensor processing and system level research and development
Experience researching novel technologies in the electromagnetic field
Algorithm development using signal processing techniques and machine learning for non-vision systems
Experience with wireless communication systems and compression schemes
Coding and scripting experience

Preferred Qualifications

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A2101673"
